num;nom;slug;sexe;adresse;refus;demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
001;Damien Abad;damien-abad;H;Permanence parlementaire d'Oyonnax, 158 Rue Anatole-France, 01100 Oyonnax; ;demande-irfm-damien-abad.pdf;NONE;20173424;avis-cada-20173424.pdf;24 novembre 2017;07 juin 2017;
002;Laurence Abeille;laurence-abeille;F;Assemblée nationale, 126 Rue de l'université, 75355 Paris 07 SP; ;demande-irfm-laurence-abeille.pdf;preuve-envoi-laurence-abeille.jpg;20173423;avis-cada-20173423.pdf;24 novembre 2017;30 mai 2017;07 juin 2017
003;Ibrahim Aboubacar;ibrahim-aboubacar;H;Quartier Comojou, SADA, BP 105, 97640 Sada; ;demande-irfm-ibrahim-aboubacar.pdf;;20173422;avis-cada-20173422.pdf;24 novembre 2017;;
004;Élie Aboud;elie-aboud;H;Permanence parlementaire, 6 Avenue du 22 Août, 34500 Béziers; ;demande-irfm-elie-aboud.pdf;NONE;20173420;avis-cada-20173420.pdf;24 novembre 2017;29 mai 2017;02 juin 2017
005;Bernard Accoyer;bernard-accoyer;H;49 Avenue de Genève, 74000 Annecy; ;demande-irfm-bernard-accoyer.pdf;preuve-envoi-bernard-accoyer.jpg;20173421;avis-cada-20173421.pdf;24 novembre 2017;01 juin 2017;06 juin 2017
006;Patricia Adam;patricia-adam;F;Permanence, 43 D Rue Branda, BP 21041, 29210 Brest cedex 1; ;demande-irfm-patricia-adam.pdf;preuve-envoi-patricia-adam.pdf;20173419;avis-cada-20173419.pdf;24 novembre 2017;07 juin 2017;11 juin 2017
007;Sylviane Alaux;sylviane-alaux;F;Permanence parlementaire, 17 Avenue Gabriel Delaunay, Bâtiment Ederra, 64500 Ciboure; ;demande-irfm-sylviane-alaux.pdf;;20173418;avis-cada-20173418.pdf;24 novembre 2017;;
008;Éric Alauzet;eric-alauzet;H;Permanence parlementaire, 59 Rue de Belfort, 25000 Besançon;REFUS;demande-irfm-eric-alauzet.pdf;;20173404;avis-cada-20173404.pdf;24 novembre 2017;;07 juin 2017
009;Yves Albarello;yves-albarello;H;Permanence parlementaire, 64 Rue Jean-Jaurès, 77410 Claye-Souilly; ;demande-irfm-yves-albarello.pdf;;20173417;avis-cada-20173417.pdf;24 novembre 2017;;
010;Jean-Pierre Allossery;jean-pierre-allossery;H;Permanence parlementaire, 2 Rue de Lille, 59190 Hazebrouck; ;demande-irfm-jean-pierre-allossery.pdf;;20173416;avis-cada-20173416.pdf;24 novembre 2017;;
011;Nicole Ameline;nicole-ameline;F;Permanence parlementaire, BP 20096, 14603 Honfleur cedex; ;demande-irfm-nicole-ameline.pdf;;20173411;avis-cada-20173411.pdf;24 novembre 2017;;
